Key,Year,Source,Subtype ID
CCMC_1201,2016,Chicken,140
CCMC_1206,2016,Chicken,140
CCMC_1208,2016,Chicken,140
CCMC_1209,2016,Chicken,140
CCMC_1211,2016,Chicken,140
CCMC_1214,2016,Chicken,140
CCMC_1218,2016,Chicken,140
CCMC_1223,2016,Chicken,140
CCMC_626,2016,Chicken,140
CCMC_629,2016,Chicken,140
CCMC_634,2016,Chicken,140
CCMC_637,2016,Chicken,140
CCMC_647,2016,Chicken,140
CCMC_653,2016,Chicken,140
CCMC_662,2016,Chicken,140
CCMC_714,2016,Chicken,140
CCMC_726,2016,Chicken,140
CCMC_727,2016,Chicken,140
CCMC_728,2016,Chicken,140
CCMC_730,2016,Chicken,140
CCMC_731,2016,Chicken,140
CCMC_732,2016,Chicken,140
CCMC_733,2016,Chicken,140
CCMC_734,2016,Chicken,140
CCMC_735,2016,Chicken,140
CCMC_736,2016,Chicken,140
CCMC_740,2016,Chicken,140
CCMC_743,2016,Chicken,140
CCMC_744,2016,Chicken,140
CCMC_745,2016,Chicken,140
CCMC_755,2016,Chicken,140
CCMC_759,2016,Chicken,140
CCMC_771,2016,Chicken,140
CCMC_772,2016,Chicken,140
CCMC_773,2016,Chicken,140
CCMC_776,2016,Chicken,140
CCMC_777,2016,Chicken,140
CCMC_780,2016,Chicken,140
CCMC_781,2016,Chicken,140
CCMC_782,2016,Chicken,140
CCMC_783,2016,Chicken,140
CCMC_786,2016,Chicken,140
CCMC_787,2016,Chicken,140
CCMC_788,2016,Chicken,140
CCMC_792,2016,Chicken,140
CCMC_793,2016,Chicken,140
CCMC_795,2016,Chicken,140
CCMC_797,2016,Chicken,140
CCMC_798,2016,Chicken,140
CCMC_799,2016,Chicken,140
CCMC_800,2016,Chicken,140
CCMC_801,2016,Chicken,140
CCMC_803,2016,Chicken,140
CCMC_804,2016,Chicken,140
CCMC_806,2016,Chicken,140
CCMC_821,2016,Chicken,140
CCMC_822,2016,Chicken,140
CCMC_832,2016,Chicken,140
CCMC_834,2016,Chicken,140
CCMC_835,2016,Chicken,140
CCMC_841,2016,Chicken,140
CCMC_843,2016,Chicken,140
CCMC_850,2016,Chicken,140
CCMC_853,2016,Chicken,140
CCMC_854,2016,Chicken,140
CCMC_856,2016,Chicken,140
CCMC_860,2016,Chicken,140
CCMC_862,2016,Chicken,140
CCMC_871,2016,Chicken,140
CCMC_879,2016,Chicken,140
CCMC_888,2016,Chicken,140
CCMC_897,2016,Chicken,140
CCMC_898,2016,Chicken,140
CCMC_912,2016,Chicken,140
CCMC_919,2016,Chicken,140
CCMC_969,2016,Chicken,140
CCMC_979,2016,Chicken,140
CCMC_980,2016,Chicken,140
CCMC_981,2016,Chicken,140
CCMC_982,2016,Chicken,140
CCMC_993,2016,Chicken,140
CCMA_792,2016,Chicken,141
Wa10_971,2010,Water,141
CCMB_10,2016,Chicken,141
CCMB_1012,2016,Chicken,141
CCMB_1022,2016,Chicken,141
CCMB_104,2016,Chicken,141
CCMB_1055,2016,Chicken,141
CCMB_1068,2016,Chicken,141
CCMB_1098,2016,Chicken,141
CCMB_1107,2016,Chicken,141
CCMB_115,2016,Chicken,141
CCMB_1151,2016,Chicken,141
CCMB_1153,2016,Chicken,141
CCMB_116,2016,Chicken,141
CCMB_117,2016,Chicken,141
CCMB_1171,2016,Chicken,141
CCMB_118,2016,Chicken,141
CCMB_1186,2016,Chicken,141
CCMB_119,2016,Chicken,141
CCMB_1193,2016,Chicken,141
CCMB_120,2016,Chicken,141
CCMB_1202,2016,Chicken,141
CCMB_1207,2016,Chicken,141
CCMB_1209,2016,Chicken,141
CCMB_121,2016,Chicken,141
CCMB_1210,2016,Chicken,141
CCMB_122,2016,Chicken,141
CCMB_1222,2016,Chicken,141
CCMB_1229,2016,Chicken,141
CCMB_123,2016,Chicken,141
CCMB_1230,2016,Chicken,141
CCMB_1237,2016,Chicken,141
CCMB_124,2016,Chicken,141
CCMB_1247,2016,Chicken,141
CCMB_1251,2016,Chicken,141
CCMB_1258,2016,Chicken,141
CCMB_1260,2016,Chicken,141
CCMB_1272,2016,Chicken,141
CCMB_128,2016,Chicken,141
CCMB_1280,2016,Chicken,141
CCMB_1305,2016,Chicken,141
CCMB_1315,2016,Chicken,141
CCMB_1323,2016,Chicken,141
CCMB_1331,2016,Chicken,141
CCMB_1337,2016,Chicken,141
CCMB_1338,2016,Chicken,141
CCMB_134,2016,Chicken,141
CCMB_1380,2016,Chicken,141
CCMB_1398,2016,Chicken,141
CCMB_1409,2016,Chicken,141
CCMB_1413,2016,Chicken,141
CCMB_144,2016,Chicken,141
CCMB_1488,2016,Chicken,141
CCMB_1511,2016,Chicken,141
CCMB_153,2016,Chicken,141
CCMB_158,2016,Chicken,141
CCMB_16,2016,Chicken,141
CCMB_176,2016,Chicken,141
CCMB_199,2016,Chicken,141
CCMB_205,2016,Chicken,141
CCMB_216,2016,Chicken,141
CCMB_218,2016,Chicken,141
CCMB_223,2016,Chicken,141
CCMB_224,2016,Chicken,141
CCMB_225,2016,Chicken,141
CCMB_226,2016,Chicken,141
CCMB_227,2016,Chicken,141
CCMB_228,2016,Chicken,141
CCMB_229,2016,Chicken,141
CCMB_230,2016,Chicken,141
CCMB_231,2016,Chicken,141
CCMB_238,2016,Chicken,141
CCMB_248,2016,Chicken,141
CCMB_254,2016,Chicken,141
CCMB_257,2016,Chicken,141
CCMB_26,2016,Chicken,141
CCMB_260,2016,Chicken,141
CCMB_264,2016,Chicken,141
CCMB_284,2016,Chicken,141
CCMB_29,2016,Chicken,141
CCMB_296,2016,Chicken,141
CCMB_30,2016,Chicken,141
CCMB_307,2016,Chicken,141
CCMB_31,2016,Chicken,141
CCMB_315,2016,Chicken,141
CCMB_33,2016,Chicken,141
CCMB_332,2016,Chicken,141
CCMB_333,2016,Chicken,141
CCMB_334,2016,Chicken,141
CCMB_335,2016,Chicken,141
CCMB_336,2016,Chicken,141
CCMB_337,2016,Chicken,141
CCMB_339,2016,Chicken,141
CCMB_34,2016,Chicken,141
CCMB_345,2016,Chicken,141
CCMB_35,2016,Chicken,141
CCMB_357,2016,Chicken,141
CCMB_361,2016,Chicken,141
CCMB_37,2016,Chicken,141
CCMB_373,2016,Chicken,141
CCMB_38,2016,Chicken,141
CCMB_384,2016,Chicken,141
CCMB_396,2016,Chicken,141
CCMB_40,2016,Chicken,141
CCMB_404,2016,Chicken,141
CCMB_417,2016,Chicken,141
CCMB_427,2016,Chicken,141
CCMB_43,2016,Chicken,141
CCMB_436,2016,Chicken,141
CCMB_448,2016,Chicken,141
CCMB_453,2016,Chicken,141
CCMB_460,2016,Chicken,141
CCMB_471,2016,Chicken,141
CCMB_482,2016,Chicken,141
CCMB_493,2016,Chicken,141
CCMB_500,2016,Chicken,141
CCMB_503,2016,Chicken,141
CCMB_511,2016,Chicken,141
CCMB_512,2016,Chicken,141
CCMB_524,2016,Chicken,141
CCMB_533,2016,Chicken,141
CCMB_536,2016,Chicken,141
CCMB_541,2016,Chicken,141
CCMB_552,2016,Chicken,141
CCMB_560,2016,Chicken,141
CCMB_579,2016,Chicken,141
CCMB_596,2016,Chicken,141
CCMB_6,2016,Chicken,141
CCMB_604,2016,Chicken,141
CCMB_608,2016,Chicken,141
CCMB_614,2016,Chicken,141
CCMB_617,2016,Chicken,141
CCMB_618,2016,Chicken,141
CCMB_621,2016,Chicken,141
CCMB_622,2016,Chicken,141
CCMB_623,2016,Chicken,141
CCMB_624,2016,Chicken,141
CCMB_625,2016,Chicken,141
CCMB_626,2016,Chicken,141
CCMB_64,2016,Chicken,141
CCMB_65,2016,Chicken,141
CCMB_655,2016,Chicken,141
CCMB_656,2016,Chicken,141
CCMB_657,2016,Chicken,141
CCMB_658,2016,Chicken,141
CCMB_659,2016,Chicken,141
CCMB_660,2016,Chicken,141
CCMB_661,2016,Chicken,141
CCMB_662,2016,Chicken,141
CCMB_663,2016,Chicken,141
CCMB_664,2016,Chicken,141
CCMB_676,2016,Chicken,141
CCMB_677,2016,Chicken,141
CCMB_678,2016,Chicken,141
CCMB_679,2016,Chicken,141
CCMB_680,2016,Chicken,141
CCMB_681,2016,Chicken,141
CCMB_682,2016,Chicken,141
CCMB_683,2016,Chicken,141
CCMB_684,2016,Chicken,141
CCMB_692,2016,Chicken,141
CCMB_693,2016,Chicken,141
CCMB_694,2016,Chicken,141
CCMB_695,2016,Chicken,141
CCMB_696,2016,Chicken,141
CCMB_697,2016,Chicken,141
CCMB_704,2016,Chicken,141
CCMB_705,2016,Chicken,141
CCMB_706,2016,Chicken,141
CCMB_707,2016,Chicken,141
CCMB_708,2016,Chicken,141
CCMB_709,2016,Chicken,141
CCMB_710,2016,Chicken,141
CCMB_711,2016,Chicken,141
CCMB_712,2016,Chicken,141
CCMB_725,2016,Chicken,141
CCMB_747,2016,Chicken,141
CCMB_765,2016,Chicken,141
CCMB_766,2016,Chicken,141
CCMB_775,2016,Chicken,141
CCMB_778,2016,Chicken,141
CCMB_782,2016,Chicken,141
CCMB_785,2016,Chicken,141
CCMB_802,2016,Chicken,141
CCMB_825,2016,Chicken,141
CCMB_832,2016,Chicken,141
CCMB_86,2016,Chicken,141
CCMB_869,2016,Chicken,141
CCMB_899,2016,Chicken,141
CCMB_9,2016,Chicken,141
CCMB_908,2016,Chicken,141
CCMB_926,2016,Chicken,141
CCMB_930,2016,Chicken,141
CCMB_953,2016,Chicken,141
CCMB_959,2016,Chicken,141
CCMB_965,2016,Chicken,141
CCMB_97,2016,Chicken,141
CCMB_971,2016,Chicken,141
CCMB_98,2016,Chicken,141
CCMB_990,2016,Chicken,141
CCMB_999,2016,Chicken,141
Wa08_4243,2009,Water,141
Wa08_4579,2009,Water,141
Wa10_969,2010,Water,141
CCMB_222,2016,Chicken,142
CCMB_41,2016,Chicken,142
CCMB_138,2016,Chicken,143
CCMB_506,2016,Chicken,143
Wa11_1471,2011,Water,144
Wa11_1478,2011,Water,144
Wa11_1534,2011,Water,144
Wa11_1625,2011,Water,144
Wa11_1626,2011,Water,144
Wa11_1629,2011,Water,144
Wa11_1647,2011,Water,144
Wa11_1650,2011,Water,144
Wa11_1661,2011,Water,144
Wa11_1566,2011,Water,145
CCMB_1037,2016,Chicken,146
CCMB_1093,2016,Chicken,146
